"","fr_document_id","action","action_description_fr","action_url","agency_acronym","docket_id","joint","page_length","publication_date","reg_dot_gov_document_id","rin","stage","stage_n","start_page","title","volume"
"1","2016-10961-CFPB","Issuance","Proposed rule with request for public comment.","https://www.regulations.gov/docket?D=CFPB-2016-0020","CFPB","CFPB-2016-0020","No","106","2016-05-24","CFPB-2016-0020-0001","3170-AA51","NPR","","32829","Arbitration Agreements","81"
"2","2017-14225-CFPB","Issuance","Final rule; official interpretations.","https://www.regulations.gov/docket?D=CFPB-2016-0020","CFPB","CFPB-2016-0020","No","225","2017-07-19","CFPB-2016-0020-6457","3170-AA51","FINAL","","33210","Arbitration Agreements","82"
"3","2017-25324-CFPB","Correction","Final rule; CRA revocation.","https://www.regulations.gov/docket?D=CFPB-2016-0020","CFPB","CFPB-2016-0020","No","1","2017-11-22","CFPB-2016-0020-6472","3170-AA51","FINAL","","55500","Arbitration Agreements","82"
"4","2015-19662-SEC","Issuance","Proposed rule.","https://www.sec.gov/comments/s7-14-15/s71415.shtml","SEC","S7-14-15","No","40","2015-08-25","SEC-2015-1416-0001",NA,"NPR","","51683","Applications by Security-Based Swap Dealers or Major Security-Based Swap Participants for Statutorily Disqualified Associated Persons To Effect or Be Involved in Effecting Security-Based Swaps","80"
"5","2016-20745-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1733","CFTC","1733","No","31","2016-08-30","CFTC-2016-0073-0001","3038-AE50","NPR","","59551","Whistleblower Awards Process","81"
"6","2017-10801-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1733","CFTC","1733","No","35","2017-05-30","CFTC-2017-0032-0001","3038-AE50","FINAL","","24487","Whistleblower Awards Process","82"
"7","2011-2978-FRS","Issuance","Notice of proposed rulemaking and request for comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1405&doc_ver=1","FRS","R-1405","No","10","2011-02-11","FRS-2011-0035-0001","7100-AD64","NPR","","7731","Definitions of “Predominantly Engaged in Financial Activities” and “Significant” Nonbank Financial Company and Bank Holding Company","76"
"8","2012-8515-FRS","Reissuance","Supplemental notice of proposed rulemaking and request for comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1405&doc_ver=2","FRS","R–1405","No","12","2012-04-10","FRS-2012-0103-0001","7100-AD64","NPR","","21494","Definition of “Predominantly Engaged in Financial Activities”","77"
"9","2013-07688-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1405&doc_ver=1","FRS","R-1405","No","27","2013-04-05","FRS-2013-0092-0001","7100-AD64","FINAL","","20755","Definitions of “Predominantly Engaged In Financial Activities” and “Significant” Nonbank Financial Company and Bank Holding Company","78"
"10","2011-7005-FSOC","Issuance","Notice of proposed rulemaking.","https://www.regulations.gov/docket?D=FSOC-2011-0004","FSOC","FSOC-2011-0004","No","10","2011-03-28","FSOC-2011-0004-0001","4030–AA02","NPR","","17038","Implementation of the Freedom of Information Act","76"
"11","2012-8625-FSOC","Issuance","Final rule.","https://www.regulations.gov/docket?D=FSOC-2011-0004","FSOC","FSOC-2011-0004","No","10","2012-04-11","FSOC-2011-0004-0014","4030–AA02","FINAL","","21628","Implementation of the Freedom of Information Act","77"
"12","2010-25321-FSOC","Issuance","Advance notice of proposed rulemaking.","https://www.regulations.gov/docket?D=FSOC-2010-0001","FSOC","FSOC-2010-0001","No","3","2010-10-06","FSOC-2010-0001-0001",NA,"ANPR","","61653","Advance Notice of Proposed Rulemaking Regarding Authority To Require Supervision and Regulation of Certain Nonbank Financial Companies","75"
"13","2011-1551-FSOC","Issuance","Notice of proposed rulemaking.","https://www.regulations.gov/docket?D=FSOC-2011-0001","FSOC","FSOC-2011-0001","No","13","2011-01-26","FSOC-2011-0001-0001","4030-AA00","NPR","","4555","Authority To Require Supervision and Regulation of Certain Nonbank Financial Companies","76"
"14","2011-26783-FSOC","Reissuance","Second notice of proposed rulemaking and proposed interpretive guidance.","https://www.regulations.gov/docket?D=FSOC-2011-0001","FSOC","FSOC-2011-0001","No","20","2011-10-18","FSOC-2011-0001-0045","4030-AA00","NPR","","64264","Authority to Require Supervision and Regulation of Certain Nonbank Financial Companies","76"
"15","2012-8627-FSOC","Issuance","Final rule and interpretive guidance.","https://www.regulations.gov/docket?D=FSOC-2011-0003","FSOC","FSOC-2011-0003","No","26","2012-04-11","FSOC-2011-0003-0017","4030–AA00","FINAL","","21637","Authority To Require Supervision and Regulation of Certain Nonbank Financial Companies","77"
"16","2016-14004-FRS","Issuance","Advance notice of proposed rulemaking.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1539&doc_ver=1","FRS","R-1539","No","7","2016-06-14","FRS-2016-0197-0001","7100-AE53","ANPR","","38631","Capital Requirements for Supervised Institutions Significantly Engaged in Insurance Activities","81"
"17","2011-25105-TREAS","Issuance","Interim rule.","https://www.regulations.gov/docket?D=TREAS-DO-2011-0011","TREAS","TREAS-DO-2011-0011","No","4","2011-09-30","TREAS-DO-2011-0011-0001","1505-AC38","INTERIM-FINAL","","60707","Supplemental Standards for Ethical Conduct for Employees of the Department of the Treasury","76"
"18","2011-33659-TREAS","Issuance","Proposed rule.","https://www.regulations.gov/docket?D=TREAS-DO-2012-0001","TREAS","TREAS-DO-2012-0001","No","10","2012-01-03","TREAS-DO-2012-0001-0001","1505-AC42","NPR","","35","Assessment of Fees on Large Bank Holding Companies and Nonbank Financial Companies Supervised by the Federal Reserve Board To Cover the Expenses of the Financial Research Fund","77"
"19","2012-12047-TREAS","Issuance-Complex","Final rule and interim final rule.","https://www.regulations.gov/docket?D=TREAS-DO-2012-0001","TREAS","TREAS-DO-2012-0001","No","12","2012-05-21","TREAS-DO-2012-0001-0017","1505-AC42","FINAL","","29884","Assessment of Fees on Large Bank Holding Companies and Nonbank Financial Companies Supervised by the Federal Reserve Board To Cover the Expenses of the Financial Research Fund","77"
"20","2014-29330-FRS","Issuance","Notice of proposed rulemaking.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1505&doc_ver=1","FRS","R-1505","No","24","2014-12-18","FRS-2014-0381-0001","7100-AE26","NPR","","75473","Risk-Based Capital Guidelines: Implementation of Capital Requirements for Global Systemically Important Bank Holding Companies","79"
"21","2015-18702-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1505&doc_ver=1","FRS","R-1505","No","36","2015-08-14","FRS-2015-0268-0001","7100-AE26","FINAL","","49081","Regulatory Capital Rules: Implementation of Risk-Based Capital Surcharges for Global Systemically Important Bank Holding Companies","80"
"22","2016-08015-FRS","Issuance","Notice of proposed rulemaking.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1535&doc_ver=1","FRS","R-1535","No","4","2016-04-08","FRS-2016-0112-0001","7100-AE49","NPR","","20579","Risk-Based Capital Guidelines: Implementation of Capital Requirements for Global Systemically Important Bank Holding Companies","81"
"23","2016-29966-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1535&doc_ver=1","FRS","R-1535","No","4","2016-12-16","FRS-2016-0403-0001","7100-AE49","FINAL","","90952","Regulatory Capital Rules: Implementation of Capital Requirements for Global Systemically Important Bank Holding Companies","81"
"24","2011-9357-FRS","Issuance","Proposed rule; request for public comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1414&doc_ver=1","FRS","R-1414","No","15","2011-04-22","FRS-2011-0100-0001","7100-AD73","NPR","","22648","Resolution Plans and Credit Exposure Reports Required","76"
