Agency,Docket,Comments,Any Resources Measure,Percent,FDIC Assets,501c3 Assets,Assets (Credit Unions),501c3 Revenue,Market Cap,marketcap2,MeanLobbyingAmount,TotalLobbyingAmount,Campaign Donations,TotalContribAmount,MeanContribAmountPerYearContributed
CFPB,CFPB-2011-0002,106,66,62%,1,64,0,64,3,3,53,53,53,53,53
CFPB,CFPB-2011-0003,10,6,60%,0,6,0,6,0,0,6,6,6,6,6
CFPB,CFPB-2011-0004,9,6,67%,0,6,0,6,0,0,7,7,7,7,7
CFPB,CFPB-2011-0005,7,2,29%,0,2,0,2,0,0,2,2,2,2,2
CFPB,CFPB-2011-0006,4,2,50%,0,2,0,2,0,0,1,1,1,1,1
CFPB,CFPB-2011-0007,5,3,60%,0,3,0,3,0,0,2,2,2,2,2
CFPB,CFPB-2011-0008,886,172,19%,36,148,4,148,18,18,142,142,142,142,142
CFPB,CFPB-2011-0009,115,71,62%,24,60,2,60,7,7,46,46,46,46,46
CFPB,CFPB-2011-0019,9,5,56%,0,4,0,4,1,1,6,6,6,6,6
CFPB,CFPB-2011-0020,5,3,60%,1,2,0,2,0,0,3,3,3,3,3
CFPB,CFPB-2011-0021,11,5,45%,1,4,1,4,0,0,5,5,5,5,5
CFPB,CFPB-2011-0022,5,5,100%,0,5,0,5,0,0,4,4,4,4,4
CFPB,CFPB-2011-0023,8,6,75%,1,5,0,5,0,0,6,6,6,6,6
CFPB,CFPB-2011-0024,6,4,67%,0,4,0,4,0,0,5,5,5,5,5
CFPB,CFPB-2011-0025,6,1,17%,0,1,0,1,0,0,2,2,2,2,2
CFPB,CFPB-2011-0026,5,3,60%,0,3,0,3,0,0,4,4,4,4,4
CFPB,CFPB-2011-0027,5,5,100%,1,5,0,5,0,0,4,4,4,4,4
CFPB,CFPB-2011-0028,6,3,50%,0,3,0,3,0,0,4,4,4,4,4
CFPB,CFPB-2011-0029,10,7,70%,0,7,0,7,0,0,7,7,7,7,7
CFPB,CFPB-2011-0030,6,4,67%,0,4,0,4,1,1,5,5,5,5,5
CFPB,CFPB-2011-0031,21,9,43%,2,8,0,8,2,2,11,11,11,11,11
CFPB,CFPB-2011-0032,4,1,25%,0,1,0,1,0,0,1,1,1,1,1
CFPB,CFPB-2012-0005,80,36,45%,0,34,1,34,1,1,33,33,33,33,33
CFPB,CFPB-2012-0010,26,14,54%,4,13,0,13,3,3,15,15,15,15,15
CFPB,CFPB-2012-0021,34,19,56%,0,18,0,18,1,1,17,17,17,17,17
CFPB,CFPB-2012-0022,168,60,36%,13,52,0,52,7,7,54,54,54,54,54
CFPB,CFPB-2012-0028,2737,981,36%,303,827,31,827,67,67,713,713,713,713,713
CFPB,CFPB-2012-0029,248,124,50%,58,95,5,95,15,15,102,102,102,102,102
CFPB,CFPB-2012-0031,83,43,52%,23,26,1,26,4,4,36,36,36,36,36
CFPB,CFPB-2012-0032,67,47,70%,16,38,3,38,7,7,40,40,40,40,40
CFPB,CFPB-2012-0033,170,102,60%,35,79,2,79,12,12,74,74,74,74,74
CFPB,CFPB-2012-0034,151,83,55%,22,69,2,69,11,11,72,72,72,72,72
CFPB,CFPB-2012-0037,688,188,27%,58,152,14,152,27,27,125,125,125,125,125
CFPB,CFPB-2012-0050,113,64,57%,13,55,1,55,8,8,50,50,50,50,50
CFPB,CFPB-2013-0001,1,1,100%,0,1,0,1,0,0,1,1,1,1,1
CFPB,CFPB-2013-0002,911,363,40%,187,262,25,262,47,47,196,196,196,196,196
CFPB,CFPB-2013-0005,59,15,25%,1,15,0,15,0,0,11,11,11,11,11
CFPB,CFPB-2013-0009,16,12,75%,5,10,0,10,0,0,6,6,6,6,6
CFPB,CFPB-2013-0010,61,41,67%,11,37,2,37,8,8,35,35,35,35,35
CFPB,CFPB-2013-0012,6,0,0%,0,0,0,0,0,0,3,3,3,3,3
CFPB,CFPB-2013-0013,91,51,56%,13,45,0,45,0,0,25,25,25,25,25
CFPB,CFPB-2013-0018,282,111,39%,22,102,3,102,13,13,83,83,83,83,83
CFPB,CFPB-2013-0020,29,14,48%,1,13,1,13,1,1,15,15,15,15,15
CFPB,CFPB-2013-0029,21,14,67%,4,10,0,10,3,3,14,14,14,14,14
CFPB,CFPB-2013-0030,1,0,0%,0,0,0,0,0,0,0,0,0,0,0
CFPB,CFPB-2013-0031,43,21,49%,2,21,0,21,1,1,12,12,12,12,12
CFPB,CFPB-2013-0033,187,91,49%,5,86,0,86,7,7,63,63,63,63,63
CFPB,CFPB-2014-0003,12,10,83%,0,10,0,10,0,0,6,6,6,6,6
CFPB,CFPB-2014-0006,40,14,35%,0,14,0,14,0,0,7,7,7,7,7
CFPB,CFPB-2014-0008,34,23,68%,5,20,0,20,7,7,22,22,22,22,22
CFPB,CFPB-2014-0009,61,44,72%,6,42,0,42,5,5,38,38,38,38,38
CFPB,CFPB-2014-0010,81,51,63%,20,43,2,43,10,10,39,39,39,39,39
CFPB,CFPB-2014-0019,370,235,64%,124,177,3,177,33,33,163,163,163,163,163
CFPB,CFPB-2014-0024,20,11,55%,0,11,0,11,0,0,10,10,10,10,10
CFPB,CFPB-2014-0028,26,16,62%,5,12,0,12,3,3,15,15,15,15,15
CFPB,CFPB-2014-0033,161,86,53%,17,77,4,77,12,12,73,73,73,73,73
CFPB,CFPB-2015-0029,338,116,34%,34,107,2,107,17,17,66,66,66,66,66
CFPB,CFPB-2016-0020,557,113,20%,8,106,1,106,7,7,100,100,100,100,100
CFPB,CFPB-2016-0025,12779,1652,13%,134,1612,59,1612,34,34,3607,3607,3607,3607,3607
CFPB,CFPB-2016-0035,1,0,0%,0,0,0,0,0,0,0,0,0,0,0
CFPB,CFPB-2016-0037,4,2,50%,0,2,0,2,0,0,2,2,2,2,2
CFPB,CFPB-2016-0038,268,81,30%,14,77,2,77,9,9,80,80,80,80,80
CFPB,CFPB-2016-0039,26,8,31%,1,7,0,7,1,1,7,7,7,7,7
CFPB,CFPB-2017-0018,38,19,50%,6,15,0,15,1,1,18,18,18,18,18
CFPB,CFPB-2017-0021,26,15,58%,5,13,0,13,1,1,12,12,12,12,12
CFTC,1004,12,5,42%,0,5,0,5,0,0,7,7,7,7,7
CFTC,1007,283,117,41%,22,100,1,100,27,27,101,101,101,101,101
CFTC,1016,30,11,37%,3,9,0,9,3,3,12,12,12,12,12
CFTC,1019,62,31,50%,3,30,2,30,4,4,32,32,32,32,32
CFTC,1032,178,73,41%,7,64,0,64,11,11,73,73,73,73,73
CFTC,1037,50,24,48%,0,24,0,24,0,0,17,17,17,17,17
CFTC,1038,39,11,28%,3,10,0,10,1,1,18,18,18,18,18
CFTC,1074,20,2,10%,0,2,0,2,0,0,2,2,2,2,2
CFTC,1075,44,12,27%,3,8,0,8,5,5,12,12,12,12,12
CFTC,1125,35,6,17%,1,5,0,5,1,1,10,10,10,10,10
CFTC,1157,367,225,61%,137,155,1,155,48,48,149,149,149,149,149
CFTC,1161,64,23,36%,2,22,0,22,2,2,29,29,29,29,29
CFTC,1171,7,2,29%,0,2,0,2,0,0,2,2,2,2,2
CFTC,1176,221,66,30%,9,57,0,57,16,16,73,73,73,73,73
CFTC,1217,1,0,0%,0,0,0,0,0,0,1,1,1,1,1
CFTC,1227,4,0,0%,0,0,0,0,0,0,0,0,0,0,0
CFTC,1237,29,21,72%,3,21,1,21,0,0,11,11,11,11,11
CFTC,1247,11,1,9%,0,1,0,1,0,0,2,2,2,2,2
CFTC,1252,30,5,17%,0,5,0,5,0,0,7,7,7,7,7
CFTC,1262,13,5,38%,0,5,0,5,0,0,5,5,5,5,5
CFTC,1291,119,35,29%,5,31,0,31,5,5,32,32,32,32,32
CFTC,1346,2,0,0%,0,0,0,0,0,0,0,0,0,0,0
CFTC,1391,8,0,0%,0,0,0,0,0,0,0,0,0,0,0
CFTC,1427,67,31,46%,0,29,1,29,3,3,25,25,25,25,25
CFTC,1436,195,68,35%,4,61,1,61,10,10,65,65,65,65,65
CFTC,1483,5,1,20%,0,1,0,1,0,0,1,1,1,1,1
CFTC,1503,13,6,46%,0,6,0,6,0,0,6,6,6,6,6
CFTC,1580,16,7,44%,0,7,0,7,0,0,5,5,5,5,5
CFTC,1614,19,6,32%,0,6,0,6,0,0,6,6,6,6,6
CFTC,1619,4,0,0%,0,0,0,0,0,0,1,1,1,1,1
CFTC,1703,6,2,33%,0,2,0,2,0,0,3,3,3,3,3
CFTC,1711,11,2,18%,0,2,0,2,0,0,1,1,1,1,1
CFTC,1725,5,2,40%,0,2,0,2,0,0,2,2,2,2,2
CFTC,1729,2,0,0%,0,0,0,0,0,0,0,0,0,0,0
CFTC,1733,6,2,33%,0,2,0,2,0,0,0,0,0,0,0
CFTC,1752,28,10,36%,1,10,0,10,1,1,5,5,5,5,5
CFTC,1769,39,15,38%,6,11,0,11,6,6,14,14,14,14,14
CFTC,1772,390,130,33%,6,116,0,116,21,21,118,118,118,118,118
CFTC,1774,18,6,33%,1,6,0,6,0,0,4,4,4,4,4
CFTC,1777,21,1,5%,0,1,0,1,0,0,4,4,4,4,4
CFTC,1811,8,4,50%,0,4,0,4,0,0,3,3,3,3,3
CFTC,3038-AD13,3,1,33%,0,1,0,1,0,0,0,0,0,0,0
CFTC,748,408,73,18%,9,68,2,68,8,8,59,59,59,59,59
