docket_id,lowest.sorted.rin.of.related.rins,related.rins,comment_count,comments_matched,asset_data_name,nonprofits_resources_name,CIK_name,CreditUnions_name,FDIC_Institutions_name,FFIECInstitutions_name,SEC_Institutions_name,compustat_resources_name
CFPB-2016-0025,3170-AA40,3170-AA40,211997,24835,4238,3385,2993,2104,2052,54,2725,72
OCC-2012-0009-,NA,NA,NA,1819,1305,652,675,80,1053,975,235,211
OCC-2012-0008-,NA,NA,NA,1693,1273,642,641,70,1015,950,234,206
OCC-2012-0010-,NA,NA,NA,1352,1044,488,541,67,871,824,208,160
CFPB-2012-0028,3170-AA19,3170-AA19,3000,2829,999,617,602,68,219,168,76,67
CFPB-2013-0002,3170-AA34,3170-AA34,940,915,435,217,281,36,166,145,53,39
965,3038-AD17,3038-AD17,14429,3971,434,303,246,10,17,8,28,31
CFPB-2014-0019,3170-AA10,3170-AA10,419,372,279,171,133,18,124,140,38,47
R-1417_V1,3170-AA17,"3170-AA17, 7100-AD75",891,788,270,205,151,8,36,26,18,17
CFPB-2012-0037,3170-AA13,3170-AA13,714,697,261,141,185,17,42,28,31,22
1157,3038-AD05,3038-AD05,399,379,243,186,171,10,128,74,21,29
R-1432,1557-AD44,"1557-AD44, 3064-AD85, 7100-AD82",516,502,219,152,137,18,20,17,28,32
R-1394_V1,AD-7100-56,AD-7100-56,947,844,198,160,114,10,15,7,8,12
CFPB-2011-0008,3170-AA17,"3170-AA17, 7100-AD75",1999,890,172,132,67,9,29,28,22,19
OCC-2011-0014-,NA,NA,NA,308,162,102,110,4,22,20,31,35
CFPB-2012-0029,3170-AA12,3170-AA12,253,250,155,107,73,11,57,53,18,19
933,3038-AD06,3038-AD06,1095,375,154,101,109,4,34,33,38,41
937,3038-AD10,3038-AD10,1554,683,142,83,93,6,10,5,12,15
CFPB-2013-0018,3170-AA37,3170-AA37,287,285,136,88,70,14,20,16,12,10
S7-07-13,NA,NA,1549,1285,129,92,76,2,3,1,5,5
1007,3038-AC97,3038-AC97,371,287,112,78,88,1,19,17,30,32
OCC-2013-0010-,NA,NA,NA,174,106,78,51,1,10,8,17,13
CFPB-2015-0029,3170-AA48,3170-AA48,851,340,105,83,52,12,29,27,16,16
