"","comments_we_have","lowest.sorted.rin.of.related.rins","related.rins","number.of.rins","agency_1","agency_2","agency_3","agency_4","agency_5","agency_6","agency_7","agency_8","agency_9","ANPR-Issuance_1_publication_date","ANPR-Extension_1_publication_date","NPR-Issuance_1_publication_date","NPR-Issuance_2_publication_date","NPR-Issuance_3_publication_date","NPR-Issuance_4_publication_date","NPR-Issuance_5_publication_date","NPR-Issuance_6_publication_date","NPR-Extension_1_publication_date","NPR-Reissuance_1_publication_date","NPR-Reissuance_2_publication_date","INTERIM-FINAL-Issuance_1_publication_date","INTERIM-FINAL-Issuance_2_publication_date","INTERIM-FINAL-Issuance_3_publication_date","INTERIM-FINAL-Issuance_4_publication_date","INTERIM-FINAL-Issuance_5_publication_date","INTERIM-FINAL-Issuance_6_publication_date","INTERIM-FINAL-Correction_1_publication_date","FINAL-Issuance_1_publication_date","FINAL-Issuance_2_publication_date","FINAL-Issuance_3_publication_date","FINAL-Issuance-Complex_1_publication_date","FINAL-Correction_1_publication_date","FINAL-Correction_2_publication_date","GUIDANCE-Issuance_1_publication_date","NA_1_publication_date","ANPR-Issuance_1_rule_url","ANPR-Extension_1_rule_url","NPR-Issuance_1_rule_url","NPR-Issuance_2_rule_url","NPR-Issuance_3_rule_url","NPR-Issuance_4_rule_url","NPR-Issuance_5_rule_url","NPR-Issuance_6_rule_url","NPR-Issuance_7","NPR-Issuance_8","NPR-Extension_1_rule_url","NPR-Reissuance_1_rule_url","NPR-Reissuance_2_rule_url","INTERIM-FINAL-Issuance_1_rule_url","INTERIM-FINAL-Issuance_2_rule_url","INTERIM-FINAL-Issuance_3_rule_url","INTERIM-FINAL-Issuance_4_rule_url","INTERIM-FINAL-Issuance_5_rule_url","INTERIM-FINAL-Issuance_6_rule_url","INTERIM-FINAL-Issuance_7","INTERIM-FINAL-Issuance_8","INTERIM-FINAL-Issuance_9","INTERIM-FINAL-Issuance_10","INTERIM-FINAL-Issuance_11","INTERIM-FINAL-Issuance_12","INTERIM-FINAL-Issuance_13","INTERIM-FINAL-Issuance_14","INTERIM-FINAL-Correction_1_rule_url","FINAL-Issuance_1_rule_url","FINAL-Issuance_2_rule_url","FINAL-Issuance_3_rule_url","FINAL-Issuance_4","FINAL-Issuance-Complex_1_rule_url","FINAL-Correction_1_rule_url","FINAL-Correction_2_rule_url","GUIDANCE-Issuance_1_rule_url","NA_1_rule_url"
"1",0,"1210-ZA18","1210-ZA18",1,"DOL",,,,,,,,,,,"6/21/13",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2013/06/21/2013-14790/proposed-amendments-to-class-prohibited-transaction-exemptions-to-remove-credit-ratings-pursuant-to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2",0,"1218-AC53","1218-AC53",1,"OSHA",,,,,,,,,,,,,,,,,,,,"11/3/11",,,,,,,"3/5/15",,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/11/03/2011-28274/procedures-for-the-handling-of-retaliation-complaints-under-section-806-of-the-sarbanes-oxley-act-of",,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2015/03/05/2015-05001/procedures-for-the-handling-of-retaliation-complaints-under-section-806-of-the-sarbanes-oxley-act-of",,,,,,,,
"3",0,"1218-AC58","1218-AC58",1,"OSHA",,,,,,,,,,,,,,,,,,,,"4/3/14",,,,,,,"3/17/16",,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/04/03/2014-07380/procedures-for-handling-retaliation-complaints-under-the-employee-protection-provision-of-the",,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2016/03/17/2016-05415/procedures-for-handling-retaliation-complaints-under-the-employee-protection-provision-of-the",,,,,,,,
"4",0,"1505-AC36","1505-AC36, 3064-AD84",2,"TREAS","FDIC",,,,,,,,,,"1/7/15","11/25/11",,,,,,,,,,,,,,,"6/22/12",,,,,,,,,,"https://www.federalregister.gov/documents/2015/01/07/2014-30734/qualified-financial-contracts-recordkeeping-related-to-orderly-liquidation-authority","https://www.federalregister.gov/documents/2011/11/25/2011-29993/calculation-of-maximum-obligation-limitation",,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2012/06/22/2012-15310/calculation-of-maximum-obligation-limitation",,,,,,,,
"5",0,"1505-AC38","1505-AC38",1,"TREAS",,,,,,,,,,,,,,,,,,,,"9/30/11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/09/30/2011-25105/supplemental-standards-for-ethical-conduct-for-employees-of-the-department-of-the-treasury",,,,,,,,,,,,,,,,,,,,,,,
"6",0,"1505-AC40","1505-AC40",1,"TREAS",,,,,,,,,,,"8/21/12",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2012/08/21/2012-20385/department-of-the-treasury-acquisition-regulations-contract-clause-on-minority-and-women-inclusion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7",0,"1505-AC42","1505-AC42",1,"TREAS",,,,,,,,,,,"1/3/12",,,,,,,,,,,,,,,,,,,"5/21/12",,,,,,,"https://www.federalregister.gov/documents/2012/01/03/2011-33659/assessment-of-fees-on-large-bank-holding-companies-and-nonbank-financial-companies-supervised-by-the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2012/05/21/2012-12047/assessment-of-fees-on-large-bank-holding-companies-and-nonbank-financial-companies-supervised-by-the",,,,
"8",0,"1535-AA02","1535-AA02",1,"TREAS",,,,,,,,,,,"9/27/11",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/09/27/2011-24785/government-securities-act-regulations-replacement-of-references-to-credit-ratings-and-technical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9",0,"1545-BK27","1545-BK27",1,"IRS",,,,,,,,,,,"7/6/11",,,,,,,,,,,,,,,,,,,"7/6/11",,,,,,,"https://www.federalregister.gov/documents/2011/07/06/2011-16857/modification-of-treasury-regulations-pursuant-to-section-939a-of-the-dodd-frank-wall-street-reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/07/06/2011-16856/modification-of-treasury-regulations-pursuant-to-section-939a-of-the-dodd-frank-wall-street-reform",,,,
"10",0,"1550-AC41","1550-AC41",1,"OTS",,,,,,,,,,,"3/8/11",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/03/08/2011-5011/risk-based-capital-standards-advanced-capital-adequacy-framework-basel-ii-establishment-of-a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11",0,"1550-AC42","1550-AC42, 1557-AD34",2,"OTS","OCC",,,,,,,,,,"6/24/10",,,,,,,,,,,,,,,,"12/20/10",,,,,,,,,,"https://www.federalregister.gov/documents/2010/06/24/2010-15119/community-reinvestment-act-regulations",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2010/12/20/2010-31818/community-reinvestment-act-regulations",,,,,,,,
"12",22,"1550-AC43","1550-AC43, 1557-AD35, 3064-AD62, 7100-AD53",4,"OTS","OCC","FDIC","FRS",,,,,,,,"8/25/10",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2010/08/25/2010-21051/advance-notice-of-proposed-rulemaking-regarding-alternatives-to-the-use-of-credit-ratings-in-the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
